Topic,Title,Description
List,Every James Mangold Movie Ranked Worst To Best,"James Mangold has been directing excellent movies for decades. From Logan to Indiana Jones, here's how they all rank against each other."
List,This Might Be The Best Week For Netflix Subscribers Ever,"In what may be the most exciting week for Netflix subscribers yet, the streaming giant is set to deliver an extraordinary lineup of titles."
Ratings,A Closer Look At Marvel’s Box-Office Woes,"If there’s one sentiment dominating the movie landscape in 2023, it’s that Marvel Studios is no longer a guaranteed hitmaker like in past years and its box-office is in trouble. A recent report at Forbes, however, disputes that latter conjecture, saying the r…"
Announcements and Updates,Stockholm Film Festival 2023,"This year, the Stockholm Film Festival featured movies that look at how new technologies such as fake news and A.I. affect our society. There was also a spotlight on new British films, and it honored Ethan Hawke, Ken ..."
Ad,"Cyber Monday streaming deals: Save up to 89% on Disney Plus, Max, Hulu, Peacock, and more",Most of the best Cyber Monday streaming deals end today so don't miss your chance to get the best prices of the year.
List,10 must-see movies arriving on Netflix in December 2023,"Netflix is getting a treasure trove of new movies in December, and these are the ones to watch first"
Announcements and Updates,"Frozen 3 Is ""So Epic It May Not Fit Into Just One Film""","We don't usually see many Announcements and Announcements and Updates during Disney Investor Calls because, despite what people might think on social media, these things are not D23 presentations. However, the call at the beginning of the year came with a few small Announcements and Announcements and Updates, mostly t…"
Announcements and Updates,Disney Reveals Plan To Recreate ‘Harry Potter’ With ‘Frozen 3′,"There was a time after Frozen was released when you could not escape “Let It Go”. Now, it seems Disney aren’t about to let Frozen go with its new multi-movie franchise plan. Related: The Best Disney End Credit Songs, Ranked Frozen (2013) has become crucial to…"
Ad,Check out this great movie before it leaves Amazon Prime Video next week,Looking for a great film to watch after Thanksgiving? Then check out this classic groundbreaking movie before it leaves Amazon Prime Video next week.
Review,The movies are back. But we're still learning how to love going to theaters again,"From 'Barbenheimer' to 'Taylor Swift: The Eras Tour,' people are going to cinemas again. But a post-pandemic, post-strike Hollywood has its work cut out for it."
Ratings,"New Godzilla movie earns perfect Rotten Tomatoes score, with critics saying it's ""everything you could want from a monster movie""",The movie arrives in the US and UK next month
Ratings,"Thanksgiving Eve Box Office: Disney’s ‘Wish’ Grosses $8.3 Million, Apple’s ‘Napoleon’ Earns $7.7 Million","Hollywood might not be feeling so festive this Thanksgiving. The holiday period is traditionally a busy time for moviegoing, but audiences aren’t turning out in force over Turkey Day, leaving the box office suffering from too much tryptophan. In this drowsy s…"
Ratings,Five Nights At Freddy’s Box Office Passes Big Horror Movie Milestone,"Five Nights at Freddy's, which is adapted from the video game franchise of the same name, surpasses an important milestone at the global box office."
List,THE MARVELS And 9 More Of The Biggest Superhero Movie Box Office Flops In The Genre's History,"The Marvels recently crashed and burned at the box office, but it's far from the only superhero movie to underperform in that way. In this feature, we look back at more of the genre's biggest flops..."
Announcements and Updates,The Rock Finally Has His Fast & Furious Replacement Franchise,"With Fast and Furious' main film series coming towards an end, Dwayne &quot;The Rock&quot; Johnson seems to have his next big franchise already lined up."
Ratings,Godzilla Minus One Debuts With Perfect Rotten Tomatoes Score,Some critics are saying Godzilla Minus One is one of the King of the Monsters' best movies yet.
List,The Best Movies To Watch On Paramount+ Right Now,"From drama like The Whale and the high action adventures of Indiana Jones, Paramount Plus has a vast collection of great films for every viewer."
Ad,Peacock Is Adding The Exorcist: Believer to Your Christmas Stocking,"One of the most anticipated horror movies of 2023 is about to make its Peacock debut. And while The Exorcist: Believer didn’t exactly set critics on fire, here’s your chance to check out David Gordon Green’s would-be franchise reviver and trilogy-starter ahea…"
List,What’s Coming to Netflix in December 2023,"Highlights include a dozen DC movies, Rebel Moon and the new Money Heist spin-off."
Announcements and Updates,"‘Dune: Part Two’ Moves Up Two Weeks To A March 1, 2024 Theatrical Release","Moviegoers feared the worst in August when Warner Bros. pushed “Dune: Part Two” from its original November 3 release to March 15, 2024. Amid two guild strikes, many considered the move a major one where other studios would soon follow suit and push their rema…"
Announcements and Updates,"Wonka: New Behind-The-Scenes Featurette, Tickets On Sale, New Poster","Warner Bros. Discovery has a busy December on the way, with three major movies coming out within weeks or sometimes days of each other. It's unclear if there is room at the box office for all three films, even if they are all looking to snag different corners…"
Announcements and Updates,Janelle Monae Pops in Two-Toned Boots at Beyoncé’s ‘Renaissance’ World Premiere,The musician mixed black-and-white pieces on the red carpet for the occasion.
Announcements and Updates,Kelly Rowland Revives the Cone Bra with Chainmail Heels at Beyoncé’s ‘Renaissance’ World Premiere,The musician shimmered from head to toe on the red carpet for the occasion.
Announcements and Updates,Lori Harvey Straps into Reptilian Femme LA Sandals at Beyoncé’s ‘Renaissance’ World Premiere,The influencer soared in sleek stiletto heels for the occasion in Beverly Hills.
Announcements and Updates,Twilight director reveals who she would cast in reboot,Twilight' director Catherine Hardwicke says Jenna Ortega and Jacob Elordi would be the 'perfect' Bella and Edward in a reboot.
List,Apple TV+ shows and movies: Everything to watch on Apple TV Plus,Apple TV+ offers exclusive Apple original TV shows and movies in 4K HDR quality. You can watch across all of your screens and pick up where you left off on any device. Apple TV+ costs $9.99 per month. Here’s every Apple original television show and movie avai…
Announcements and Updates,Melissa Barrera dropped from 'Scream 7' after posts about Israel-Hamas war,Franchise star Melissa Barrera has been dropped from 'Scream VII' in the wake of a series of posts about the Israel-Hamas war.
Announcements and Updates,Candace Cameron Bure's daughter Natasha stars in new Christmas movie,"Candace Cameron Bure's daughter Natasha is joining her mother in the family tradition of starring in Christmas movies with her newest, 'A Christmas for the Ages.' See an exclusive first look at the trailer."
Announcements and Updates,New Jason Bourne movie in the works with director Edward Berger,"Jason Bourne could be headed back to the big screen: A sixth installment of the 'Bourne' movie franchise is in the works at Universal, with 'All Quiet on the Western Front' filmmaker Edward Berger in talks to direct."
List,Disney Plus Schedule November 20-26: New TV Shows & Movies Being Added,"Disney Plus‘s new TV and movie releases for November 20-26 include a new episode of Dancing with the Stars Season 32, a new episode of Marvel Studios’ Assembled, and the Disney Original film The Naughty Nine. On November 21, viewers can stream a new episode o…"
Ratings,Ballad of Songbirds and Snakes tops box office while The Marvels drops,"The Hunger Games: The Ballad of Songbirds and Snakes' tops the weekend box office with $44 million in North America, and $98.5 million worldwide — still the smallest opening of the franchise."
Ratings,Beyoncé Livens Up Sleepy Thanksgiving Weekend In Hollywood As ‘Renaissance’ Makes Splashy World Premiere,"We’ve all heard of the first screenings for Oscar contending movies during Thanksgiving weekend, i.e. American Hustle and Joy in years past, however, to literally hold a glittery world premiere post-Turkey day is a rare feat. But that’s exactly what 32x Gramm…"
Announcements and Updates,Destiny's Child Stars Reunite at Beyoncé’s Renaissance Premiere,"The woman that once made up Destiny's Child just had their biggest reunion for a very special occasion.
Four out of five of Beyoncé's former bandmates—trio members Kelly Rowland and Michelle..."
Announcements and Updates,Here’s Why Taylor Swift Didn’t Attend Beyoncé's Movie Premiere After Bey’s Surprise 'Eras Tour' Premiere Appearance,"Taylor Swift is missing the premiere of Beyonce‘s new movie Renaissance: A Film By Beyonce on Saturday night (November 25), but she has a very good reason. If you forgot, the “Break Me Soul” superstar was a surprise celebrity guest on the red carpet when Tayl…"
N/A (repeat),Here's Why Taylor Swift Didn't Attend Beyonce's Movie Premiere After Bey’s Surprise 'Eras Tour' Premiere Appearance,"Taylor Swift is missing the premiere of Beyonce‘s new movie Renaissance: A Film By Beyonce on Saturday night (November 25), but she has a very good reason. If you forgot, the “Break Me Soul” superstar was a surprise celebrity guest on the red carpet when Tayl…"
Announcements and Updates,Taylor Swift’s Concert Film Will Be Available To Rent Sooner Than Expected,Taylor Swift's concert movie Taylor Swift: The Eras Tour will be available to rent starting on December 13—much earlier than initially expected.
N/A,Rick and Morty Season 7 Episode 8 Release Date & Time on Adult Swim,"The release date and time for Rick and Morty Season 7 Episode 8 have been revealed. The episode, titled RISE OF THE NUMBERICONS: THE MOVIE, will be available for streaming on Adult Swim. In this episode, a sociopathic scientist returns to his daughter’s home …"
Review,Beyoncé’s ‘Renaissance’ Film: 4 Takeaways From the Premiere,"The star skipped the red carpet and slipped into the celebrity-filled screening on Saturday night. But the movie pulls back the curtain — a little. Near the end of her new concert documentary, “Renaissance: A Film by Beyoncé,” Beyoncé states that she’s tired …"
Interview,Margot Robbie on if Barbie will get a sequel: ‘we put everything into this one’,"As you all know, Barbie was the *It* movie of the summer, and probably of the year. In addition to becoming the highest domestic grossing Warner Bros film of all time, it made more than $1 billion at the worldwide box office. This propelled director Greta Ger…"
Interview,"Inside Beyoncé’s ‘Renaissance’ Concert Film World Premiere with Lizzo, Halle Bailey, Janelle Monáe and More","Beyoncé captivated Hollywood’s attention Saturday night as the superstar held a stealthily staged world premiere of her concert movie, “Renaissance: A Film by Beyoncé,” at the Samuel Goldwyn Theater in Beverly Hills. The movie, which documents her Renaissance…"
Rumors and Speculation,What Behind-the-Scenes Secrets Will Beyoncé’s Renaissance Film Reveal?,"Photo: Kevin Mazur/WireImage for Parkwood (Getty Images)
Beyoncé celebrated Thanksgiving with some of her superstar friends, as she attended the premiere of her new concert movie, Renaissance: A Film by Beyoncé on Saturday. In addition to the 32-time Grammy …"
Announcements and Updates,"Quick News: Nosferatu, Twilight, Hazbin, NCIS","Nosferatu Another photo has arrived from Robert Eggers’ new “Nosferatu” movie, this one showcasing Nicholas Hoult as Jonathan Harker in the movie whilst a blurry Bill Skarsgard as Count Orlok is in the foreground. Lily-Rose Depp, Willem Dafoe and Aaron Taylor…"
Announcements and Updates,"Ferrari biopic Starring Adam Driver set to premiere globally, know more about the film","The movie, based on the book Enzo Ferrari — The Man, The Cars, The Races, The Machine takes into the world of Enzo Ferrari and his automobile empire. The movie shows how the automobile giant battles multiple issues including personal and professional."
Review,"Crypto documentary ‘Bull Run’ takes on Bitcoin, tokenization and trading addiction","Crypto documentary ‘Bull Run’ takes on Bitcoin, tokenization and trading addiction"
Announcements and Updates,"Does ‘Yellowstone’ Return Tonight? Here’s When ‘Yellowstone’ Season 5, Part 2 Returns To Paramount Network","""I believe in lovin’ with your whole soul and destroying anything that wants to kill what you love."""
Interview,Suitable Flesh’s director explains the ludicrous kill scene he sat on for a decade,"Joe Lynch says the best kill scene in his H.P. Lovecraft body-swap horror-comedy came from a test drive, and a love of Re-Animator-style excess."
Interview,Studio Ghibli Gives Update on Hayao Miyazaki’s Next Movie,"In an interview with IndieWire, Studio Ghibli president Toshio Suzuki opened up Hayao Miyazaki’s next movie following The Boy and the Heron. Suzuki revealed that Miyazaki’s latest coming-of-age fantasy has given the acclaimed filmmaker “newfound confidence” t…"
List,Disney Plus Schedule November 27 – December 3: New TV Shows & Movies Being Added,"Disney Plus‘s new TV and movie releases for November 27 to December 3 include the latest Indiana Jones film Indiana Jones and the Dial of Destiny, all episodes of The Shepherd, the special Doctor Who: Wild Blue Yonder, and new episodes of Dancing with the Sta…"
List,Paramount Plus Schedule November 27 – December 3: New TV Shows & Movies Being Added,"Paramount Plus‘s new TV and movie releases for November 27 to December 3 include Death Proof, Braveheart, Trainspotting, and The Addams Family. On December 1, viewers can stream Death Proof, directed by Quentin Tarantino, and the second feature part of the Gr…"
N/A (repeat),"Crypto documentary ‘Bull Run’ takes on Bitcoin, tokenization and trading addiction",“Bull Run” explores one director’s obsession with trading cryptocurrencies during the bull market and how it led her to create a tokenized crypto documentary.
List,10 Things Community's Cast & Creator Have Said About The Upcoming Movie,The Community movie has had a tumultuous and somewhat confusing development process but has received several recent positive Announcements and Updates.
Ratings,New Godzilla movie earns perfect Rotten Tomatoes score,"After hitting the big screen in its native Japan on November 3, Godzilla Minus One is about to make its way overseas – and it's a hit with international critics. (Total Film)"
Analysis,Why does Warner Bros. keep canceling finished movies?,The studio's decision to scrap multiple completed films isn't sitting well with Hollywood
Review,Review: Danica McKellar and Damon Runyan star in a new original movie,"Actors Danica McKellar and Damon Runyan star in a new original movie, which will premiere on Great American Family on Saturday, November 25,
The post Review: Danica McKellar and Damon Runyan star in a new original movie appeared first on Digital Journal."
Interview,‘Venom 3’ Production Has Begun Says Tom Hardy,The planned sequel was scheduled for July 2024 until the actors strike began.
List,8 Best New Movies Coming to Netflix in December 2023,The movies in our Netflix queue throughout December 2023.
